Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
16124244,The Dog Stars,Peter Heller,"Heller, Peter",,"=""""","=""""",3,Knopf,Kindle Edition,337,2012,2012,2021/03/07,2021/02/24,,,read,,,,1,0
18817521,Every Good Endeavor: Connecting Your Work to God's Work,Timothy J. Keller,"Keller, Timothy J.",,"=""1101600330""","=""9781101600337""",3,Penguin Books,Kindle Edition,286,2012,2012,2021/12/02,2020/11/16,,,read,,,,1,0
53138232,Zorrie,Laird Hunt,"Hunt, Laird",,"=""1635575362""","=""9781635575361""",0,Bloomsbury Publishing,Hardcover,176,2021,2021,,2021/11/21,to-read,to-read (#5),to-read,,,,0,0
53434917,My Life as a Cat,Carlie Sorosiak,"Sorosiak, Carlie",,"=""1788006089""","=""9781788006088""",0,Nosy Crow,Paperback,272,2020,2020,,2021/09/18,to-read,to-read (#4),to-read,,,,0,0
26209946,"xchg rax, rax",xorpd,"xorpd, xorpd",,"=""1502958082""","=""9781502958082""",5,Createspace,Paperback,70,2014,2014,,2021/09/02,,,read,,,,1,0
53950959,Their Eyes Were Watching God,Zora Neale Hurston,"Hurston, Zora Neale",,"=""""","=""""",5,Amistad,Kindle Edition,223,2021,1937,2021/06/07,2019/10/09,,,read,,,,1,0
56788428,"Positively Conflicted: Engaging with Courage, Compassion, and Wisdom in a Combative World",Sam Ardery,"Ardery, Sam",Holiday McKiernan,"=""1736294911""","=""9781736294918""",0,Maxwell Lane Press,Kindle Edition,234,2021,,2021/06/07,2021/04/30,,,read,,,,1,0
10776,Green Hills of Africa,Ernest Hemingway,"Hemingway, Ernest",Edward Shenton,"=""""","=""""",4,London:,Paperback,200,2004,1935,2021/04/28,2020/12/11,,,read,,,,1,0
256008,"Lonesome Dove (Lonesome Dove, #1)",Larry McMurtry,"McMurtry, Larry",,"=""067168390X""","=""9780671683900""",5,Pocket Books,Mass Market Paperback,960,1999,1985,2021/02/24,2020/03/22,,,read,,,,1,0
53313009,Blood Meridian: Or the Evening Redness in the West,Cormac McCarthy,"McCarthy, Cormac",,"=""""","=""""",5,Vintage,Kindle Edition,370,2010,1985,2020/12/11,2019/10/09,,,read,,,,1,0
3876,The Sun Also Rises,Ernest Hemingway,"Hemingway, Ernest",,"=""""","=""""",5,Pan Books,Paperback,189,1957,1926,,2020/12/02,,,read,,,,1,0
23418947,Just Mercy: A Story of Justice and Redemption,Bryan Stevenson,"Stevenson, Bryan",,"=""""","=""""",4,Spiegel & Grau,ebook,352,2014,2014,2020/08/29,2020/08/29,,,read,,,,1,0
45878653,Catch-22,Joseph Heller,"Heller, Joseph",Christopher Buckley,"=""""","=""""",4,Simon & Schuster,Kindle Edition,530,2010,1961,2020/06/07,2019/10/09,,,read,,,,1,0
18920654,Go Tell It on the Mountain,James Baldwin,"Baldwin, James",,"=""0345806557""","=""9780345806550""",5,Vintage,Kindle Edition,242,2013,1953,2020/07/25,2019/10/09,,,read,,,,1,0
8499486,"Empire of the Summer Moon: Quanah Parker and the Rise and Fall of the Comanches, the Most Powerful Indian Tribe in American History",S.C. Gwynne,"Gwynne, S.C.",,"=""1416597158""","=""9781416597155""",5,Scribner,Kindle Edition,371,2010,2010,2020/03/13,2019/12/22,,,read,,,,1,0
6567759,One Flew Over the Cuckoo's Nest,Ken Kesey,"Kesey, Ken",,"=""""","=""""",0,Signet,ebook,336,2007,1962,,2019/10/09,to-read,to-read (#3),to-read,,,,0,0
198289,Fields of Fire,James Webb,"Webb, James",,"=""0553583859""","=""9780553583854""",5,Bantam,Mass Market Paperback,457,2001,1978,,2020/04/02,,,read,,,,1,0
2517439,The Forever War,Dexter Filkins,"Filkins, Dexter",,"=""0307266397""","=""9780307266392""",5,"Borzoi Books/Alfred A. Knopf, Inc.",Hardcover,342,2008,2008,,2020/03/22,,,read,,,,1,0
